red1,red2,red3,blue1,blue2,blue3,redScore,blueScore
2611,5203,5448,1918,4003,5502,97,117
66,5878,5222,4776,3536,1684,86,106
2337,1481,494,2767,3641,6086,78,134
6097,5084,5050,51,3539,1711,88,72
5907,3656,4381,5114,1250,5712,99,108
67,3688,4377,85,6193,3620,136,120
6075,217,4216,3548,3886,33,96,125
2612,3538,2619,3357,5505,3546,97,137
3452,1322,2137,573,5090,1718,89,100
4391,3414,3668,123,2604,3618,98,52
3234,3770,5048,4384,2771,4967,109,170
4362,27,6098,3098,5053,3767,132,79
503,5980,5460,3655,5926,5155,107,91
5167,74,5230,1023,3534,2474,96,143
2959,3602,5166,107,4680,858,92,82
1025,3604,2834,3707,1701,70,137,107
2586,6121,68,548,2054,5150,91,126
3688,4003,3357,3452,6075,2337,105,110
3414,5712,85,3641,2137,3539,99,132
2612,5222,1711,573,4216,3770,103,110
5203,1718,3767,3098,4377,3656,110,137
1250,3655,3886,5090,1684,3538,75,78
3618,494,51,503,67,66,127,120
4381,2959,123,5050,2619,5980,81,129
858,2611,2767,5084,4967,2834,113,112
548,2604,4384,5505,27,2474,121,125
2586,5155,5502,3604,5907,6098,98,108
5926,5167,4362,4680,3234,3707,107,79
1918,3534,5053,6097,3548,1322,132,79
5150,4776,1025,6086,3620,5230,103,124
5460,5448,1701,2054,74,4391,150,122
70,107,3546,6121,2771,5114,171,140
1023,5878,3602,33,5048,1481,121,108
6193,5166,217,3668,68,3536,105,108
858,1684,3098,2612,5505,3688,152,122
3641,503,3357,5090,3656,2959,142,89
2337,2586,5712,3618,3767,5084,103,101
67,2767,4680,2619,3770,3548,145,102
5502,3655,5230,4003,1322,51,77,101
3534,1701,573,5907,3886,3620,133,131
123,6098,2474,5203,1025,3234,87,118
2834,3414,5053,5050,5048,5222,101,95
6097,4391,33,107,68,6086,114,120
5114,74,3538,4967,3452,3602,99,124
2611,3536,5167,548,70,5460,110,104
6193,1711,5980,3546,4776,217,94,84
4377,2137,4384,4362,1481,3668,96,129
66,5926,2054,2604,5166,2771,105,120
1023,494,27,4381,6121,85,190,106
6075,3707,3539,5155,1918,1250,78,124
5150,5448,4216,3604,5878,1718,118,115
5502,4391,5090,2337,858,5053,85,127
2834,5505,3452,33,67,123,155,147
3098,3602,5084,3656,3536,2619,133,103
5460,3534,4680,3414,4776,6098,103,106
2474,3886,3546,4967,68,1481,107,126
2611,217,3234,3641,51,2604,118,134
2771,3655,5907,3767,494,74,130,115
4381,3688,2767,5230,3618,1711,127,73
5050,6121,2054,5155,4362,5878,132,109
3620,4216,27,2586,5926,5203,135,93
3539,2959,3770,548,1025,1684,129,125
1023,1918,6193,1701,6086,5222,97,88
2612,4377,70,5150,6075,6097,109,95
3604,4003,3548,5114,2137,5167,129,123
5980,573,3668,66,3357,1250,122,86
5166,5712,1718,503,4384,3707,92,136
85,5048,107,3538,5448,1322,159,67
5502,4381,4680,1481,3452,3767,97,99
5155,2619,5090,27,33,1711,111,150
5878,3546,5053,2959,74,2604,102,84
6086,3688,3536,3770,2054,3414,137,126
1025,3641,5230,5907,3618,5505,130,110
5114,5203,3604,1023,2767,5460,121,180
6075,4967,4776,1701,6121,5167,112,90
1250,858,51,1718,5222,3548,94,103
3656,3539,6098,70,5166,5048,91,103
2474,3620,494,5980,3098,3538,137,95
5150,1918,2337,3655,3668,2834,137,120
4377,1322,548,3707,66,217,105,118
5084,3886,2137,6193,2612,3234,99,112
3357,67,2586,107,3534,1684,152,115
4391,2771,5050,3602,2611,503,141,86
4384,123,5926,5448,85,6097,114,130
4003,4216,4362,68,5712,573,124,127
51,2054,2959,5505,5048,3604,122,136
2619,1718,5114,2474,3539,6086,112,136
3548,5460,1711,2337,5907,3538,124,104
494,70,5878,3452,3414,5203,150,125
4967,5053,4680,5155,1025,4377,118,116
2137,1684,5166,27,2767,6075,94,130
3641,6193,3534,5150,33,1250,101,122
503,858,2586,3536,123,3546,143,127
4384,107,5980,3618,5502,4216,159,117
3656,66,4391,3655,3620,4362,117,160
5222,68,5084,3688,1701,1322,85,106
5448,5167,1481,5050,2834,3098,117,130
74,3234,548,1918,85,3357,120,149
2771,67,217,573,4381,6098,190,76
